split,model,auc,brier
0,clinical_Mayo_age,0.45714285714285713,0.2589912213648993
0,clinical_plus_myeloid,0.6571428571428571,0.22577179654761856
0,clinical_plus_barrier,0.48571428571428565,0.2604783387192077
0,clinical_plus_myeloid_barrier,0.6285714285714286,0.23105367304865698
1,clinical_Mayo_age,0.7142857142857143,0.22121670370861043
1,clinical_plus_myeloid,0.4,0.3627639874734916
1,clinical_plus_barrier,0.7142857142857143,0.21181557157706543
1,clinical_plus_myeloid_barrier,0.4,0.3700373519636598
2,clinical_Mayo_age,0.5,0.2522821461130887
2,clinical_plus_myeloid,0.8055555555555556,0.20156419511017956
2,clinical_plus_barrier,0.6666666666666667,0.23203667014139798
2,clinical_plus_myeloid_barrier,0.7777777777777779,0.19974146314461874
3,clinical_Mayo_age,0.6111111111111112,0.24771631446335718
3,clinical_plus_myeloid,0.6944444444444444,0.21940131212510064
3,clinical_plus_barrier,0.5833333333333334,0.2612981347633156
3,clinical_plus_myeloid_barrier,0.6666666666666667,0.2288943051201914
4,clinical_Mayo_age,0.7,0.22529723462974996
4,clinical_plus_myeloid,0.8333333333333333,0.17898925872067384
4,clinical_plus_barrier,0.7333333333333334,0.2217901539166564
4,clinical_plus_myeloid_barrier,0.8333333333333333,0.18252312658342185
5,clinical_Mayo_age,0.7142857142857143,0.21998285858268807
5,clinical_plus_myeloid,0.8285714285714285,0.17767952993930425
5,clinical_plus_barrier,0.6285714285714286,0.24465648526186876
5,clinical_plus_myeloid_barrier,0.8285714285714285,0.20244870858575045
6,clinical_Mayo_age,0.22857142857142854,0.28651120567349203
6,clinical_plus_myeloid,0.5142857142857142,0.2543496712232861
6,clinical_plus_barrier,0.19999999999999996,0.3138033680944055
6,clinical_plus_myeloid_barrier,0.48571428571428565,0.27640604344575387
7,clinical_Mayo_age,0.6666666666666667,0.22755833155870495
7,clinical_plus_myeloid,0.6666666666666666,0.24472305828185534
7,clinical_plus_barrier,0.6111111111111112,0.2276360018283086
7,clinical_plus_myeloid_barrier,0.6944444444444445,0.24625490502751832
8,clinical_Mayo_age,0.4444444444444445,0.2769628123379152
8,clinical_plus_myeloid,0.41666666666666674,0.2808619211123266
8,clinical_plus_barrier,0.5,0.27121183724167064
8,clinical_plus_myeloid_barrier,0.4444444444444445,0.2795246878315218
9,clinical_Mayo_age,0.7333333333333333,0.22771619980412658
9,clinical_plus_myeloid,0.8,0.20530279596729004
9,clinical_plus_barrier,0.7666666666666666,0.21697473724268004
9,clinical_plus_myeloid_barrier,0.7,0.22903425912774597
10,clinical_Mayo_age,0.3714285714285714,0.3393688519416538
10,clinical_plus_myeloid,0.4857142857142857,0.29432834903591804
10,clinical_plus_barrier,0.3714285714285714,0.33328967113537655
10,clinical_plus_myeloid_barrier,0.45714285714285713,0.2957524538981735
11,clinical_Mayo_age,0.7857142857142857,0.21612852015483952
11,clinical_plus_myeloid,0.8,0.20565397566684582
11,clinical_plus_barrier,0.6,0.22531210051596826
11,clinical_plus_myeloid_barrier,0.6857142857142857,0.21113032501780496
12,clinical_Mayo_age,0.7916666666666666,0.22588720952218344
12,clinical_plus_myeloid,0.7500000000000001,0.20691805554569465
12,clinical_plus_barrier,0.638888888888889,0.23166025861740058
12,clinical_plus_myeloid_barrier,0.7500000000000001,0.21743347492811402
13,clinical_Mayo_age,0.6111111111111112,0.2558209967638233
13,clinical_plus_myeloid,0.8611111111111112,0.2349565300638143
13,clinical_plus_barrier,0.6666666666666667,0.23948577714198738
13,clinical_plus_myeloid_barrier,0.8611111111111112,0.23296750798669139
14,clinical_Mayo_age,0.6333333333333333,0.24182631441233085
14,clinical_plus_myeloid,0.6333333333333333,0.23221497173841366
14,clinical_plus_barrier,0.7,0.22511123978952607
14,clinical_plus_myeloid_barrier,0.6333333333333333,0.23154040768533887
15,clinical_Mayo_age,0.5571428571428572,0.2485984134730692
15,clinical_plus_myeloid,0.6571428571428571,0.21490536874212063
15,clinical_plus_barrier,0.6285714285714286,0.24152655450817725
15,clinical_plus_myeloid_barrier,0.6571428571428571,0.21895565761344682
