cohort,stratum,state,n_response,n_nonresponse,hedges_g_response_minus_nonresponse,variance
GSE16879,GSE16879_CD_colon,resident_like_macrophage,12,7,0.034717140385312845,0.22622592559743307
GSE16879,GSE16879_CD_colon,inflammatory_monocyte,12,7,-1.972962809946996,0.34067818940912165
GSE16879,GSE16879_CD_colon,other_myeloid,12,7,2.0347688279711016,0.34796354040467886
GSE16879,GSE16879_CD_colon,stroma,12,7,-0.8129402531191172,0.24562788369463426
GSE16879,GSE16879_CD_colon,colonic_epithelium,12,7,1.727195939897431,0.31393182368454003
GSE16879,GSE16879_UC_colon,resident_like_macrophage,8,16,0.577670993494734,0.1950841767437544
GSE16879,GSE16879_UC_colon,inflammatory_monocyte,8,16,-0.623369827778968,0.19633158959511773
GSE16879,GSE16879_UC_colon,other_myeloid,8,16,0.32537597874735497,0.1899061256260409
GSE16879,GSE16879_UC_colon,stroma,8,16,-0.40246091854958327,0.19118124524908578
GSE16879,GSE16879_UC_colon,colonic_epithelium,8,16,0.6282003976722024,0.1964689940826253
GSE23597,GSE23597_UC_colon,resident_like_macrophage,25,7,0.6930634254629833,0.19086275805238426
GSE23597,GSE23597_UC_colon,inflammatory_monocyte,25,7,-0.608049520478565,0.18901921317971307
GSE23597,GSE23597_UC_colon,other_myeloid,25,7,-0.7502501824600918,0.19223839846183288
GSE23597,GSE23597_UC_colon,stroma,25,7,-0.9158529926884894,0.19683692126075056
GSE23597,GSE23597_UC_colon,colonic_epithelium,25,7,1.4165327066424023,0.21629989134027036
GSE92415,GSE92415_UC_colon,resident_like_macrophage,32,27,-0.3874387237710447,0.06960378058683822
GSE92415,GSE92415_UC_colon,inflammatory_monocyte,32,27,-0.1853323703167411,0.06858833605008284
GSE92415,GSE92415_UC_colon,other_myeloid,32,27,-0.04855204800251996,0.06830771511918825
GSE92415,GSE92415_UC_colon,stroma,32,27,-0.11583306408758254,0.06840473263998369
GSE92415,GSE92415_UC_colon,colonic_epithelium,32,27,0.37124218070856363,0.06949599104350414
E-MTAB-7604,E-MTAB-7604_IBD_colon,resident_like_macrophage,10,17,0.6918002792720755,0.16839528193978312
E-MTAB-7604,E-MTAB-7604_IBD_colon,inflammatory_monocyte,10,17,-0.19260004709664916,0.15956542497459733
E-MTAB-7604,E-MTAB-7604_IBD_colon,other_myeloid,10,17,-0.1898798073734696,0.15954461623672841
E-MTAB-7604,E-MTAB-7604_IBD_colon,stroma,10,17,-0.22629412978267585,0.15984771007524667
E-MTAB-7604,E-MTAB-7604_IBD_colon,colonic_epithelium,10,17,0.21233529540979543,0.1597252549653
E-MTAB-7604,E-MTAB-7604_IBD_ileum,resident_like_macrophage,9,8,-0.49123311004031994,0.2441547767244406
E-MTAB-7604,E-MTAB-7604_IBD_ileum,inflammatory_monocyte,9,8,0.01623651717810609,0.23611989859411361
E-MTAB-7604,E-MTAB-7604_IBD_ileum,other_myeloid,9,8,-0.3428456530890213,0.24002921583917902
E-MTAB-7604,E-MTAB-7604_IBD_ileum,stroma,9,8,0.21099439577604814,0.2375950656127411
E-MTAB-7604,E-MTAB-7604_IBD_ileum,colonic_epithelium,9,8,0.10574596316080707,0.236483851401938
