,resident_like_macrophage,inflammatory_monocyte,other_myeloid,stroma,colonic_epithelium
A1BG,5.225401644162534,5.248865008235415,5.216116644288381,5.693423386099522,0.5346163183427848
A1BG-AS1,2.5949217490370913,2.0712679183400593,2.4778016878888285,2.9400687853457654,0.10401383191737673
A1CF,0.15320183964568132,0.10850596886558207,0.18928536007324867,0.20771834144133997,4.868288267046475
A2M,6.973779427345996,2.640030712117055,4.7484985007030405,10.24581654345202,1.931046529450806
A2M-AS1,1.538334697787413,1.118803405242228,3.094691146911077,1.1426815784129576,0.20596004937128568
A2ML1,0.0,0.0,0.18928536007324867,0.06551453296190632,0.028107340363770633
A2ML1-AS1,0.0,0.0,0.0,0.011127783298664777,0.0
A2ML1-AS2,0.0,0.0,0.0,0.011127783298664777,0.005665446977909845
A3GALT2,0.0,0.0,0.0,0.0,0.0
A4GALT,1.084300557436334,1.0110986950338416,1.346069904654717,5.43964805699777,0.3598574278329144
A4GNT,0.0,0.0,0.03989605638645116,0.02217039241817201,0.016930030188497116
AAAS,3.2837304736972857,3.177192589651168,3.6690968366088166,3.946496357538809,3.875490080120245
AACS,2.231784418044796,1.707182116072996,2.7363950298995685,3.450787392526738,4.357304592264799
AADAC,0.15320183964568132,0.10850596886558207,0.03989605638645116,0.044005234777390975,0.3103602119230561
AADACL2,0.0,0.0,0.0,0.06551453296190632,0.005665446977909845
AADACL2-AS1,0.0,0.0,0.0,0.0,0.005665446977909845
AADACL3,0.0,0.0,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0,0.044005234777390975,0.016930030188497116
AADAT,0.0,0.0,0.07871845775781273,2.2138813324306748,1.9922517798174055
AAGAB,3.6739686147180914,3.686265192474628,3.620588930693019,4.06068280864653,4.548697696841457
AAK1,5.730535276716225,5.576234540180146,5.507765851286895,5.971556058972164,4.836852113543253
AAMDC,4.4036938250934154,3.3856316578355714,3.6434290629353026,5.775859777592668,4.785907827691613
AAMP,5.163611422145833,4.828683651681864,5.035495591884431,5.488238902278861,5.866037058124341
AANAT,0.15320183964568132,0.0,0.0,0.05479996905834087,0.08808099582852193
AAR2,2.540397617211388,3.087237707603678,3.0218524186907603,3.7913621020218806,2.9806853755488745
AARD,0.15320183964568132,0.10850596886558207,1.4385191339024477,2.0855345359808624,0.05020547855928063
AARS,4.2926171853304105,3.2966870164482986,3.91149194228166,4.60372828061873,3.991379341571347
AARS2,2.540397617211388,1.7412881447847,2.1166079283032135,2.2282569217864183,2.2680354989847187
AARSD1,1.7453359755885536,1.0659559066211723,2.8806903263954986,2.760495431241837,2.7696522333496563
AASDH,3.4556350359909214,3.2018963966212253,3.7343793406343915,4.243407503795839,3.6123124383971046
AASDHPPT,4.596409724207195,4.184634219052447,4.6696315521412055,5.144505020929044,3.968354148051107
AASS,0.2916854154205314,0.6292664192339831,0.8585005988763632,3.767772825721346,1.3145921976505637
AATBC,1.1585839054973717,3.1520583896715393,1.1412427878238771,0.12818275792491216,0.2732647393342094
AATF,4.950154443499539,4.975600922754856,5.102964990744881,4.671924903689775,4.606930071757898
AATK,2.906508533314188,2.546682971704547,2.3645398862634446,1.4306707959320524,1.4495730491073409
AB015752.1,0.0,0.0,0.0,0.02217039241817201,0.005665446977909845
ABALON,0.2916854154205314,0.3922566758905808,0.3878448046340417,0.4229785478911997,0.3194869381287491
ABAT,2.948990158773583,2.8421307690456628,3.061156820932624,1.7223241211347748,2.2739161452316208
ABCA1,6.985306439952346,6.3942105737901365,6.043083597762076,5.8507454560823735,2.6234779630307163
ABCA10,0.0,0.10850596886558207,0.3565918276508423,2.5553497538690566,1.1555091791505596
ABCA12,0.0,0.0,0.0,0.044005234777390975,2.8623376494142234
ABCA13,0.15320183964568132,0.2094188879792804,0.29197837950315925,0.20771834144133997,1.4052535139153313
ABCA2,1.6455447851391993,1.2666374301303294,2.1443238421129056,3.3046918203066777,2.796863613827623
