state,gene,specificity_log2cpm,n_each
resident_like_macrophage,CHIT1,4.548187968506625,50
resident_like_macrophage,PLA2G2D,4.512649623428317,50
resident_like_macrophage,CCL18,4.226691753192172,50
resident_like_macrophage,GPNMB,3.830382161890813,50
resident_like_macrophage,APOC1,3.417732074222033,50
resident_like_macrophage,ALOX15B,3.393935127925827,50
resident_like_macrophage,MMP12,3.3592781964504166,50
resident_like_macrophage,ATP6V0D2,3.1246385072815617,50
resident_like_macrophage,FUCA1,3.0542733002852778,50
resident_like_macrophage,MMP9,2.9460282591769893,50
resident_like_macrophage,CYP27B1,2.876824811751744,50
resident_like_macrophage,OTOA,2.8646811761500417,50
resident_like_macrophage,RAB42,2.8540451615077096,50
resident_like_macrophage,ACP5,2.7402737565017548,50
resident_like_macrophage,HSD17B14,2.6436427720896924,50
resident_like_macrophage,LINC02384,2.6381215347617237,50
resident_like_macrophage,CYP27A1,2.5642224316495477,50
resident_like_macrophage,LINC02345,2.557829446778057,50
resident_like_macrophage,FABP3,2.5568145164910465,50
resident_like_macrophage,CTSD,2.5501163672000224,50
resident_like_macrophage,HS3ST2,2.5467201181786994,50
resident_like_macrophage,FOLR2,2.5235820945046323,50
resident_like_macrophage,TREM2,2.408282771297115,50
resident_like_macrophage,NR1H3,2.386051927615381,50
resident_like_macrophage,AURKC,2.360080198947018,50
resident_like_macrophage,LIPA,2.3439136832340646,50
resident_like_macrophage,C1QB,2.3252511049479967,50
resident_like_macrophage,TMIGD3,2.2644280268686776,50
resident_like_macrophage,DNASE2,2.2519988886409914,50
resident_like_macrophage,PLD3,2.241175118072295,50
resident_like_macrophage,MT1H,2.227637537155922,50
resident_like_macrophage,TCN2,2.1940853514463683,50
resident_like_macrophage,PLA2G7,2.126585338744639,50
resident_like_macrophage,C1QC,2.1148549136082924,50
resident_like_macrophage,SELENOP,2.0954970323402495,50
resident_like_macrophage,KCNMA1,2.0922970868865693,50
resident_like_macrophage,CCL1,2.092007436529145,50
resident_like_macrophage,LINC01857,2.091603350683197,50
resident_like_macrophage,SLC12A5,2.0861681758301422,50
resident_like_macrophage,HTRA4,2.085467545097241,50
resident_like_macrophage,TMEM163,2.0771201205222876,50
resident_like_macrophage,NPL,2.056660857072175,50
resident_like_macrophage,CD163,2.0431198895207068,50
resident_like_macrophage,SIGLEC15,2.0389253016262665,50
resident_like_macrophage,CTSL,2.0319024539957304,50
resident_like_macrophage,CCL24,2.031476013818864,50
resident_like_macrophage,IL2RA,2.027812869483979,50
resident_like_macrophage,TIMD4,2.00744954136235,50
resident_like_macrophage,CREG1,2.002094341979906,50
resident_like_macrophage,MS4A4A,2.0004531345171905,50
inflammatory_monocyte,ACOD1,4.161545314971901,50
inflammatory_monocyte,RETN,3.647310799176978,50
inflammatory_monocyte,CD300E,3.250013527480304,50
inflammatory_monocyte,OLIG1,3.140650581004737,50
inflammatory_monocyte,SERPINB2,3.033798312375286,50
inflammatory_monocyte,SLC11A1,2.8865300084713104,50
inflammatory_monocyte,FFAR2,2.8855011817188614,50
inflammatory_monocyte,MCEMP1,2.881232466796393,50
inflammatory_monocyte,MIR3945HG,2.8700635954546536,50
inflammatory_monocyte,AC245128.3,2.7168075673661387,50
inflammatory_monocyte,FOLR3,2.458730340824303,50
inflammatory_monocyte,GLT1D1,2.3519441134595596,50
inflammatory_monocyte,LUCAT1,2.335562241931169,50
inflammatory_monocyte,KCNJ2,2.164313455225498,50
inflammatory_monocyte,VSTM1,2.158696428740127,50
inflammatory_monocyte,SMIM25,2.154748183579602,50
inflammatory_monocyte,RNASE2,2.1477018358491127,50
inflammatory_monocyte,VNN3,2.124124950425247,50
inflammatory_monocyte,OLIG2,2.107277658916787,50
inflammatory_monocyte,ACSL1,2.0179406205033716,50
inflammatory_monocyte,NLRP12,2.0121330211514543,50
inflammatory_monocyte,AATBC,1.993474484174168,50
inflammatory_monocyte,LILRA2,1.9844896613503713,50
inflammatory_monocyte,CDC42EP2,1.9506948769211085,50
inflammatory_monocyte,PPP1R17,1.9276773450407167,50
inflammatory_monocyte,NFE2,1.899970893566103,50
inflammatory_monocyte,GPBAR1,1.8438320753705773,50
inflammatory_monocyte,DNAAF1,1.8158354593681123,50
inflammatory_monocyte,FCAR,1.7883206416955342,50
inflammatory_monocyte,GCH1,1.653494142331719,50
inflammatory_monocyte,AC005280.2,1.6169950739852545,50
inflammatory_monocyte,HAL,1.5821739037524325,50
inflammatory_monocyte,OASL,1.5504442526172708,50
inflammatory_monocyte,KCNJ2-AS1,1.538538038501366,50
inflammatory_monocyte,EHD1,1.5305400664800466,50
inflammatory_monocyte,TNFSF14,1.5299581181344672,50
inflammatory_monocyte,LIPN,1.5242938817397889,50
inflammatory_monocyte,CDC42EP3,1.5228133041643384,50
inflammatory_monocyte,RSAD2,1.5153218009255873,50
inflammatory_monocyte,AZIN1-AS1,1.5132041331444732,50
inflammatory_monocyte,SIGLEC14,1.5118108713072669,50
inflammatory_monocyte,MARCO,1.4965634240514087,50
inflammatory_monocyte,EREG,1.4762573737593785,50
inflammatory_monocyte,AC015912.3,1.4748107587238461,50
inflammatory_monocyte,EAF1,1.4593359277483557,50
inflammatory_monocyte,STXBP2,1.4572803114125898,50
inflammatory_monocyte,SLC46A2,1.4535825347559648,50
inflammatory_monocyte,OLR1,1.4371805860323068,50
inflammatory_monocyte,ADGRE1,1.4199894413519334,50
inflammatory_monocyte,GPR84,1.419000228109648,50
other_myeloid,TPSAB1,8.998517450567922,50
other_myeloid,TPSB2,8.847956313684756,50
other_myeloid,CPA3,8.09753508811098,50
other_myeloid,MS4A2,6.781619001758423,50
other_myeloid,CTSG,6.091894539268541,50
other_myeloid,HDC,5.978020583770568,50
other_myeloid,RHEX,5.627788053209529,50
other_myeloid,GZMB,5.611045341186349,50
other_myeloid,SLC18A2,5.5547926439028625,50
other_myeloid,KRT1,5.470383004009235,50
other_myeloid,CLNK,4.969258478500182,50
other_myeloid,CCL22,4.84090409412951,50
other_myeloid,ADCYAP1,4.741307433182603,50
other_myeloid,AL157895.1,4.592569612972566,50
other_myeloid,HPGDS,4.5415765784226085,50
other_myeloid,LTC4S,4.203378512801656,50
other_myeloid,GCSAML,3.8999158776342617,50
other_myeloid,UTS2,3.8873720593148207,50
other_myeloid,KIT,3.6456381414111463,50
other_myeloid,RGS13,3.5233063291652207,50
other_myeloid,TCL1A,3.3036409151952224,50
other_myeloid,GRAP2,3.2447236500043326,50
other_myeloid,CLEC9A,3.210445234342815,50
other_myeloid,TPSD1,3.168836116862315,50
other_myeloid,NTRK1,3.1152691912067314,50
other_myeloid,LILRA4,3.045983866484728,50
other_myeloid,XCR1,3.0207667387791917,50
other_myeloid,CMA1,3.005735431238305,50
other_myeloid,CDK15,2.9767707784439095,50
other_myeloid,KLRG1,2.9629380667432423,50
other_myeloid,BTLA,2.903594277806828,50
other_myeloid,GATA2,2.8919555696104218,50
other_myeloid,FAM129C,2.8277310280862773,50
other_myeloid,CLEC4C,2.8190949078271834,50
other_myeloid,SVOPL,2.6636623725319426,50
other_myeloid,CCR7,2.6127954736949617,50
other_myeloid,IL13,2.5831931902538874,50
other_myeloid,IL5,2.57849032921435,50
other_myeloid,TESPA1,2.4774464128325175,50
other_myeloid,GCSAM,2.4388455086427316,50
other_myeloid,FLT3,2.414306783493502,50
other_myeloid,SIGLEC6,2.366628335845019,50
other_myeloid,AMHR2,2.3341338210813256,50
other_myeloid,TLR10,2.3189405363502584,50
other_myeloid,AL662860.1,2.2871170261441947,50
other_myeloid,ST8SIA6,2.2829560021023303,50
other_myeloid,MIR4432HG,2.2397643402761216,50
other_myeloid,AC104024.1,2.234712935949505,50
other_myeloid,SLC45A3,2.196959839268791,50
other_myeloid,TREML1,2.171518065144555,50
stroma,CALD1,9.464166806343155,50
stroma,CCL11,9.126642280846415,50
stroma,COL1A2,8.994627584989413,50
stroma,POSTN,8.886904777894966,50
stroma,FBLN1,8.160361418456949,50
stroma,CXCL14,8.059248483257162,50
stroma,MGP,8.04638775412457,50
stroma,COL4A1,8.030778459232852,50
stroma,THY1,8.010316051434442,50
stroma,CAV1,8.007182372475302,50
stroma,BGN,7.972903824848099,50
stroma,COL6A3,7.873253933042882,50
stroma,SPARCL1,7.833938549676212,50
stroma,LAMA4,7.823842857935687,50
stroma,NDUFA4L2,7.718516720184345,50
stroma,ACTA2,7.688275279655329,50
stroma,COL5A1,7.660943666995922,50
stroma,COL5A2,7.635398155473407,50
stroma,MMP2,7.589571132171458,50
stroma,CYGB,7.5733197094390965,50
stroma,COL14A1,7.514707824433783,50
stroma,MCAM,7.410761808165859,50
stroma,MFAP4,7.361831151982008,50
stroma,TCF21,7.335295329560921,50
stroma,CARMN,7.307929494352129,50
stroma,COL4A2,7.236685649036719,50
stroma,IGFBP7,7.209477941487127,50
stroma,MYL9,7.195103138717377,50
stroma,PLAC9,7.077729374216008,50
stroma,COX4I2,7.071982529835379,50
stroma,PDGFRB,7.059955094677129,50
stroma,ADGRF5,7.034233891480386,50
stroma,NOTCH3,7.028284593909913,50
stroma,TAGLN,6.970057312521738,50
stroma,PDLIM3,6.901925183881671,50
stroma,PCDH18,6.885088570244309,50
stroma,MEG3,6.8520083315918265,50
stroma,C1R,6.821255237020361,50
stroma,EDNRA,6.7846132944659,50
stroma,TBX2,6.764636075213504,50
stroma,PCOLCE,6.721845505049265,50
stroma,ADH1B,6.719452775595777,50
stroma,EHD2,6.691721568119319,50
stroma,NR2F1,6.68475112733727,50
stroma,COL15A1,6.627003007991043,50
stroma,MXRA8,6.614509717882576,50
stroma,AGT,6.613656211170905,50
stroma,GNG11,6.599939763206026,50
stroma,PXDN,6.5507756857027175,50
stroma,RAMP2,6.503279419445768,50
colonic_epithelium,CEACAM5,8.206890050110651,50
colonic_epithelium,LGALS4,8.015016225608854,50
colonic_epithelium,FABP1,7.917941074295735,50
colonic_epithelium,PHGR1,7.864190418192195,50
colonic_epithelium,AGR2,7.854650574883911,50
colonic_epithelium,KRT19,7.710479262566434,50
colonic_epithelium,PIGR,7.638066119374903,50
colonic_epithelium,PI3,7.595654456119814,50
colonic_epithelium,TSPAN8,7.53193817760212,50
colonic_epithelium,REG1A,7.457269515756056,50
colonic_epithelium,GPX2,7.410716881268263,50
colonic_epithelium,CLDN3,7.387164152405744,50
colonic_epithelium,EPCAM,7.347145873424212,50
colonic_epithelium,CEACAM6,7.302488669385497,50
colonic_epithelium,SPINK4,7.263151886513444,50
colonic_epithelium,TSPAN1,7.262335399075686,50
colonic_epithelium,C10orf99,7.251610172074632,50
colonic_epithelium,CEACAM7,7.1508386968091315,50
colonic_epithelium,TFF1,7.131011311770271,50
colonic_epithelium,SMIM22,7.124667935220296,50
colonic_epithelium,CLDN4,7.082736901021513,50
colonic_epithelium,ELF3,7.050918039379123,50
colonic_epithelium,REG1B,7.00113872666344,50
colonic_epithelium,S100A14,6.973914429436089,50
colonic_epithelium,DUOXA2,6.939199925032851,50
colonic_epithelium,FAM3D,6.9022436618743015,50
colonic_epithelium,REG3A,6.897261800200246,50
colonic_epithelium,FXYD3,6.862627787267778,50
colonic_epithelium,PDZK1IP1,6.841914948560578,50
colonic_epithelium,SFN,6.80478949621723,50
colonic_epithelium,ITLN1,6.804054799531221,50
colonic_epithelium,MUC4,6.766202292119101,50
colonic_epithelium,AGR3,6.760388589339102,50
colonic_epithelium,MISP,6.715477154271365,50
colonic_epithelium,PYY,6.6749881869196255,50
colonic_epithelium,SPINK1,6.658846945241123,50
colonic_epithelium,FCGBP,6.6434132668512955,50
colonic_epithelium,DMBT1,6.600533328596067,50
colonic_epithelium,UGT2B17,6.580580791973274,50
colonic_epithelium,RAB25,6.578872376357159,50
colonic_epithelium,MUC13,6.575202132288451,50
colonic_epithelium,REG4,6.543027331711336,50
colonic_epithelium,ZG16,6.524668647042714,50
colonic_epithelium,DUOX2,6.49357687946592,50
colonic_epithelium,MUC5B,6.431831777345209,50
colonic_epithelium,GCNT3,6.358069253699672,50
colonic_epithelium,GPA33,6.340961092786081,50
colonic_epithelium,PLS1,6.276123390545445,50
colonic_epithelium,PRSS3,6.26084162668553,50
colonic_epithelium,PRAC1,6.240088749352502,50
