cohort,stratum,signature,signature_type,development_overlap,n_responder,n_non_responder,hedges_g_R_minus_NR,variance_g,ci95_low_g,ci95_high_g,oriented_AUC_response,mannwhitney_p,mannwhitney_fdr_within_cohort
GSE73661_VDZ,GSE73661_VDZ_UC_colon,myeloid_inflammation,current_module,False,9,31,-0.9815314081775417,0.15604554280143734,-1.7557823734504314,-0.20728044290465186,0.8028673835125447,0.0065149749397667295,0.026059899759066918
GSE73661_VDZ,GSE73661_VDZ_UC_colon,epithelial_ifn_damage,current_module,False,9,31,-0.17732787988729973,0.1437829279559944,-0.9205347797716777,0.5658790199970783,0.5663082437275986,0.5598928091854973,0.5598928091854973
GSE73661_VDZ,GSE73661_VDZ_UC_colon,epithelial_barrier_maturity,current_module,False,9,31,0.5814961893286617,0.1478183574457106,-0.17206800963745283,1.3350603882947762,0.6774193548387096,0.1124996129886017,0.13499953558632202
GSE73661_VDZ,GSE73661_VDZ_UC_colon,stromal_fibroinflammatory,current_module,False,9,31,-0.8031844152309121,0.1518574020071062,-1.5669745667453836,-0.039394263716440614,0.7275985663082437,0.041300297017415694,0.05506706268988759
GSE73661_VDZ,GSE73661_VDZ_UC_colon,Gaujoux_UC_A_20,published_benchmark,False,9,31,-0.8355660870700514,0.15255563202015535,-1.6011101524043918,-0.07002202173571104,0.7311827956989247,0.03818237990436221,0.05506706268988759
GSE73661_VDZ,GSE73661_VDZ_UC_colon,Gaujoux_UC_B_20,published_benchmark,False,9,31,-1.0082438225785957,0.1567449072820809,-1.7842278661096738,-0.2322597790475176,0.8064516129032258,0.005904125490233644,0.026059899759066918
GSE73661_VDZ,GSE73661_VDZ_UC_colon,Gaujoux_UC_B_knn_19,published_benchmark,False,9,31,-0.9853607877006079,0.1561446477580028,-1.7598575784151618,-0.21086399698605396,0.8100358422939067,0.005345382450545708,0.026059899759066918
GSE73661_VDZ,GSE73661_VDZ_UC_colon,Gaujoux_IRRAT_29,published_benchmark,False,9,31,-0.9756445913432494,0.155893943635363,-1.7495193705353422,-0.20176981215115664,0.7706093189964158,0.015133446844756721,0.03632027242741613
GSE73661_VDZ,GSE73661_VDZ_UC_colon,Gaujoux_UC_AB_53,published_benchmark,False,9,31,-0.8832717786986087,0.15363455766731124,-1.6515181693407925,-0.11502538805642493,0.7491039426523298,0.025428108964230964,0.04359104393868165
GSE73661_VDZ,GSE73661_VDZ_UC_colon,Gaujoux_CDc_20,published_benchmark,False,9,31,-1.0244838625301342,0.15717927016124886,-1.8015423444035732,-0.24742538065669528,0.7921146953405018,0.008703060646134029,0.026109181938402087
GSE73661_VDZ,GSE73661_VDZ_UC_colon,West_OSM22,published_benchmark,False,9,31,-0.8819156845072221,0.15360306081908015,-1.6500833214476092,-0.1137480475668351,0.7598566308243727,0.019700537667695365,0.03940107533539073
GSE73661_VDZ,GSE73661_VDZ_UC_colon,Belarif_IL7R_10,published_benchmark,False,9,31,-0.3488152109930193,0.14497012367224152,-1.0950840815077174,0.3974536595216787,0.6487455197132617,0.1841959118051899,0.2009409946965708
