cohort,signature,n_requested,n_present,coverage,present_genes,missing_genes
GSE73661_VDZ,myeloid_inflammation,9,9,1.0,IL1B;TNF;CXCL8;SPP1;OSM;IL1RN;CCL3;CCL4;NFKBIA,
GSE73661_VDZ,epithelial_ifn_damage,9,9,1.0,ISG15;IFIT1;IFIT2;IFIT3;IFI6;MX1;CXCL10;HLA-DRA;HLA-DRB1,
GSE73661_VDZ,epithelial_barrier_maturity,8,8,1.0,MUC2;TFF3;KRT20;CA1;CA2;BEST4;OTOP2;SLC26A3,
GSE73661_VDZ,stromal_fibroinflammatory,11,11,1.0,COL1A1;COL3A1;DCN;LUM;CXCL12;IL11;OSMR;CCL19;CXCL13;WNT2B;RSPO3,
GSE73661_VDZ,Gaujoux_UC_A_20,20,20,1.0,IL13RA2;CD86;NR3C1;TMEM158;TNFRSF11B;RGS5;CD69;SPG20;IGFBP5;WNT5A;DSE;ACSL4;STC1;ZEB2;CXCL6;RBMS1;EDNRB;MMP10;ADGRL2;ADGRE2,
GSE73661_VDZ,Gaujoux_UC_B_20,20,17,0.85,TNFRSF11B;STC1;CSF3R;IL1B;MASP1;PTGS2;G0S2;OSM;AQP9;TLR2;FPR1;KCNJ15;BCL6;C5AR1;HCAR3;CXCR2;CEMIP,APOBEC3A;FCGR1B;GK
GSE73661_VDZ,Gaujoux_UC_B_knn_19,19,19,1.0,TREM1;OSM;G0S2;PDE4B;BCL6;CREB5;IL1B;CSF3R;TLR2;C5AR1;FCN1;LILRA5;KCNJ15;FGR;LILRA1;GK3P;HCAR3;FPR2;NAMPT,
GSE73661_VDZ,Gaujoux_IRRAT_29,29,28,0.9655172413793104,ADAM9;ADAMTS1;AKAP12;CDH6;CTSS;EGR1;EVI2A;FCGR3A;FOS;ITGB3;ITGB6;LCN2;LTF;MEGF11;NFKBIZ;NNMT;OLFM4;OSMR;PI15;PTPRC;PTX3;RARRES1;S100A8;SERPINA3;SLPI;SOD2;VCAN;TMEM252,MT-ND6
GSE73661_VDZ,Gaujoux_UC_AB_53,53,53,1.0,ACSL4;BCAT1;CCL4;CLEC4A;COL12A1;CSF2RB;CXCL5;CXCL6;FAM129A;FCER1G;FCGR2A;FGF7;GLIS3;IGFBP5;IGSF6;IL11;IL13RA2;IL6;IL7R;INHBA;KLHL5;LCP2;LILRB1;LILRB2;LY96;MCTP1;MME;MMP3;PAPPA;PDE4B;PI15;PRR16;PTGS2;RGS18;RGS5;S100A9;SAMSN1;SELE;SERPINE1;SLC2A3;SNX10;SOCS3;SRGN;STC1;TAGAP;TFPI;TFPI2;TLR1;TNC;TNFRSF11B;WNT5A;ADGRE2;ADGRL2,
GSE73661_VDZ,Gaujoux_CDc_20,20,20,1.0,MNDA;S100A12;IL13RA2;IL11;FCGR2B;PTGES;NCF2;LILRB2;IL6;TNFAIP6;TAGAP;SLC2A3;FCN1;S100A8;PROK2;FPR1;BCL2A1;G0S2;CD14;S100A9,
GSE73661_VDZ,West_OSM22,22,22,1.0,OSM;IL1B;IL1A;IL6;IL11;CSF2;CSF3;IFNG;IL17A;IL22;CXCL1;CXCL2;CXCL3;CXCL5;CXCL6;CXCL8;CCL2;CCL3;CCL4;CXCL9;CXCL10;CXCL11,
GSE73661_VDZ,Belarif_IL7R_10,10,10,1.0,IL7R;IL2RG;JAK1;PIK3CA;LCK;PTK2B;EP300;NMI;CRLF2;TSLP,
GSE206285_UST,myeloid_inflammation,9,8,0.8888888888888888,IL1B;TNF;CXCL8;SPP1;OSM;IL1RN;CCL4;NFKBIA,CCL3
GSE206285_UST,epithelial_ifn_damage,9,9,1.0,ISG15;IFIT1;IFIT2;IFIT3;IFI6;MX1;CXCL10;HLA-DRA;HLA-DRB1,
GSE206285_UST,epithelial_barrier_maturity,8,8,1.0,MUC2;TFF3;KRT20;CA1;CA2;BEST4;OTOP2;SLC26A3,
GSE206285_UST,stromal_fibroinflammatory,11,11,1.0,COL1A1;COL3A1;DCN;LUM;CXCL12;IL11;OSMR;CCL19;CXCL13;WNT2B;RSPO3,
GSE206285_UST,Gaujoux_UC_A_20,20,20,1.0,IL13RA2;CD86;NR3C1;TMEM158;TNFRSF11B;RGS5;CD69;SPG20;IGFBP5;WNT5A;DSE;ACSL4;STC1;ZEB2;CXCL6;RBMS1;EDNRB;MMP10;ADGRL2;ADGRE2,
GSE206285_UST,Gaujoux_UC_B_20,20,20,1.0,TNFRSF11B;STC1;CSF3R;IL1B;MASP1;PTGS2;G0S2;OSM;AQP9;TLR2;APOBEC3A;FPR1;KCNJ15;FCGR1B;BCL6;C5AR1;GK;HCAR3;CXCR2;CEMIP,
GSE206285_UST,Gaujoux_UC_B_knn_19,19,19,1.0,TREM1;OSM;G0S2;PDE4B;BCL6;CREB5;IL1B;CSF3R;TLR2;C5AR1;FCN1;LILRA5;KCNJ15;FGR;LILRA1;GK3P;HCAR3;FPR2;NAMPT,
GSE206285_UST,Gaujoux_IRRAT_29,29,27,0.9310344827586207,ADAM9;ADAMTS1;AKAP12;CDH6;CTSS;EGR1;EVI2A;FOS;ITGB3;ITGB6;LCN2;LTF;MEGF11;NFKBIZ;NNMT;OLFM4;OSMR;PI15;PTPRC;PTX3;RARRES1;S100A8;SERPINA3;SLPI;SOD2;VCAN;TMEM252,FCGR3A;MT-ND6
GSE206285_UST,Gaujoux_UC_AB_53,53,53,1.0,ACSL4;BCAT1;CCL4;CLEC4A;COL12A1;CSF2RB;CXCL5;CXCL6;FAM129A;FCER1G;FCGR2A;FGF7;GLIS3;IGFBP5;IGSF6;IL11;IL13RA2;IL6;IL7R;INHBA;KLHL5;LCP2;LILRB1;LILRB2;LY96;MCTP1;MME;MMP3;PAPPA;PDE4B;PI15;PRR16;PTGS2;RGS18;RGS5;S100A9;SAMSN1;SELE;SERPINE1;SLC2A3;SNX10;SOCS3;SRGN;STC1;TAGAP;TFPI;TFPI2;TLR1;TNC;TNFRSF11B;WNT5A;ADGRE2;ADGRL2,
GSE206285_UST,Gaujoux_CDc_20,20,20,1.0,MNDA;S100A12;IL13RA2;IL11;FCGR2B;PTGES;NCF2;LILRB2;IL6;TNFAIP6;TAGAP;SLC2A3;FCN1;S100A8;PROK2;FPR1;BCL2A1;G0S2;CD14;S100A9,
GSE206285_UST,West_OSM22,22,21,0.9545454545454546,OSM;IL1B;IL1A;IL6;IL11;CSF2;CSF3;IFNG;IL17A;IL22;CXCL1;CXCL2;CXCL3;CXCL5;CXCL6;CXCL8;CCL2;CCL4;CXCL9;CXCL10;CXCL11,CCL3
GSE206285_UST,Belarif_IL7R_10,10,10,1.0,IL7R;IL2RG;JAK1;PIK3CA;LCK;PTK2B;EP300;NMI;CRLF2;TSLP,
