smaller_accession,smaller_sample,larger_accession,best_match_sample,pearson_r,n_fingerprint_genes
GSE12251,GSM307886,GSE23597,GSM578715,1.0000000000000002,3000
GSE12251,GSM307887,GSE23597,GSM578718,0.9999999999999992,3000
GSE12251,GSM307888,GSE23597,GSM578722,0.9999999999999999,3000
GSE12251,GSM307889,GSE23597,GSM578731,1.0,3000
GSE12251,GSM307890,GSE23597,GSM578734,1.0000000000000002,3000
GSE12251,GSM307891,GSE23597,GSM578739,0.9999999999999996,3000
GSE12251,GSM307892,GSE23597,GSM578740,0.9999999999999999,3000
GSE12251,GSM307893,GSE23597,GSM578741,0.9999999999999997,3000
GSE12251,GSM307894,GSE23597,GSM578743,1.0000000000000002,3000
GSE12251,GSM307895,GSE23597,GSM578745,0.9999999999999999,3000
GSE12251,GSM307896,GSE23597,GSM578748,0.9999999999999999,3000
GSE12251,GSM307897,GSE23597,GSM578751,0.9999999999999999,3000
GSE12251,GSM307898,GSE23597,GSM578757,1.0000000000000002,3000
GSE12251,GSM307899,GSE23597,GSM578768,0.9999999999999999,3000
GSE12251,GSM307900,GSE23597,GSM578776,1.0000000000000007,3000
GSE12251,GSM307901,GSE23597,GSM578779,1.0,3000
GSE12251,GSM307902,GSE23597,GSM578782,1.0000000000000002,3000
GSE12251,GSM307903,GSE23597,GSM578788,0.9999999999999999,3000
GSE12251,GSM307904,GSE23597,GSM578790,0.9999999999999999,3000
GSE12251,GSM307905,GSE23597,GSM578792,1.0000000000000002,3000
GSE12251,GSM307906,GSE23597,GSM578797,1.0000000000000007,3000
GSE12251,GSM307907,GSE23597,GSM578815,0.9999999999999997,3000
GSE12251,GSM307908,GSE23597,GSM578821,0.9999999999999999,3000
GSE14580,GSM364627,GSE16879,GSM364627,1.0000000000000002,3000
GSE14580,GSM364628,GSE16879,GSM364628,1.0000000000000002,3000
GSE14580,GSM364629,GSE16879,GSM364629,1.0000000000000004,3000
GSE14580,GSM364630,GSE16879,GSM364630,1.0000000000000002,3000
GSE14580,GSM364631,GSE16879,GSM364631,0.9999999999999999,3000
GSE14580,GSM364632,GSE16879,GSM364632,0.9999999999999996,3000
GSE14580,GSM364633,GSE16879,GSM364633,0.9999999999999997,3000
GSE14580,GSM364634,GSE16879,GSM364634,1.0,3000
GSE14580,GSM364635,GSE16879,GSM364635,1.0000000000000007,3000
GSE14580,GSM364636,GSE16879,GSM364636,0.9999999999999996,3000
GSE14580,GSM364637,GSE16879,GSM364637,1.0000000000000002,3000
GSE14580,GSM364638,GSE16879,GSM364638,1.0000000000000007,3000
GSE14580,GSM364639,GSE16879,GSM364639,0.9999999999999997,3000
GSE14580,GSM364640,GSE16879,GSM364640,1.0000000000000002,3000
GSE14580,GSM364641,GSE16879,GSM364641,0.9999999999999997,3000
GSE14580,GSM364642,GSE16879,GSM364642,1.0,3000
GSE14580,GSM364643,GSE16879,GSM364643,0.9999999999999999,3000
GSE14580,GSM364644,GSE16879,GSM364644,0.9999999999999997,3000
GSE14580,GSM364645,GSE16879,GSM364645,1.0000000000000002,3000
GSE14580,GSM364646,GSE16879,GSM364646,0.9999999999999996,3000
GSE14580,GSM364647,GSE16879,GSM364647,1.0000000000000004,3000
GSE14580,GSM364648,GSE16879,GSM364648,1.0000000000000004,3000
GSE14580,GSM364649,GSE16879,GSM364649,1.0000000000000002,3000
GSE14580,GSM364650,GSE16879,GSM364650,1.0000000000000002,3000
GSE14580,GSM364651,GSE16879,GSM364651,1.0000000000000007,3000
GSE14580,GSM364652,GSE16879,GSM364652,1.0,3000
GSE14580,GSM364653,GSE16879,GSM364653,0.9999999999999997,3000
GSE14580,GSM364654,GSE16879,GSM364654,1.0,3000
GSE14580,GSM364655,GSE16879,GSM364655,1.0000000000000004,3000
GSE14580,GSM364656,GSE16879,GSM364656,1.0,3000
