cohort,stratum,signature,signature_type,development_overlap,n_responder,n_non_responder,hedges_g_R_minus_NR,variance_g,ci95_low_g,ci95_high_g,oriented_AUC_response,mannwhitney_p,axis,level
GSE16879,disease_group:CD,myeloid_inflammation,current_module,False,12,7,-2.514484737011995,0.412150284798308,-3.7727838008601644,-1.2561856731638252,0.9880952380952381,7.938398031277289e-05,disease_group,CD
GSE16879,disease_group:CD,epithelial_ifn_damage,current_module,False,12,7,-1.015453687833018,0.25651830537087844,-2.0081473575583604,-0.022760018107675806,0.7738095238095238,0.05564817019925379,disease_group,CD
GSE16879,disease_group:CD,epithelial_barrier_maturity,current_module,False,12,7,0.8506354690343451,0.24747226151927854,-0.12439757648383654,1.8256685145525267,0.7380952380952381,0.10026196713503215,disease_group,CD
GSE16879,disease_group:CD,stromal_fibroinflammatory,current_module,False,12,7,-1.7170755350468967,0.31290660539802284,-2.813461422997414,-0.6206896470963792,0.9047619047619048,0.002619671350321505,disease_group,CD
GSE16879,disease_group:UC,myeloid_inflammation,current_module,False,8,16,-1.117548251749582,0.21588441124973973,-2.028230168917701,-0.20686633458146342,0.8125,0.013120843649851593,disease_group,UC
GSE16879,disease_group:UC,epithelial_ifn_damage,current_module,False,8,16,-0.7142795260499782,0.19909534639395868,-1.5888335167829872,0.16027446468303064,0.7734375,0.032428199072431135,disease_group,UC
GSE16879,disease_group:UC,epithelial_barrier_maturity,current_module,False,8,16,0.7867110429165313,0.20156623329651854,-0.09325307102897828,1.6666751568620408,0.75,0.052314775157688065,disease_group,UC
GSE16879,disease_group:UC,stromal_fibroinflammatory,current_module,False,8,16,-0.8867277488075364,0.2053701386478473,-1.7749562805658727,0.0015007829508001391,0.7578125,0.04482297738456037,disease_group,UC
GSE16879,tissue_group:colon,myeloid_inflammation,current_module,False,20,23,-1.5916598211200217,0.12437315094478253,-2.2828847459234294,-0.900434896316614,0.8978260869565218,8.841012970076594e-06,tissue_group,colon
GSE16879,tissue_group:colon,epithelial_ifn_damage,current_module,False,20,23,-0.7607598775718054,0.1005362558857002,-1.3822259511514545,-0.1392938039921563,0.7195652173913044,0.014401152138761598,tissue_group,colon
GSE16879,tissue_group:colon,epithelial_barrier_maturity,current_module,False,20,23,1.0193859621389791,0.10615079428183366,0.3808024583486822,1.657969465929276,0.7782608695652175,0.001905830142715577,tissue_group,colon
GSE16879,tissue_group:colon,stromal_fibroinflammatory,current_module,False,20,23,-1.2001539655873865,0.11104374307828632,-1.8532892068732512,-0.5470187243015219,0.8195652173913043,0.0003608665843389518,tissue_group,colon
