current_module,published_signature,n_responder,n_non_responder,oriented_AUC_current,oriented_AUC_published,delta_AUC_current_minus_published,bootstrap_CI95_low,bootstrap_CI95_high,bootstrap_two_sided_p,n_bootstrap
myeloid_inflammation,Arijs_2009_top5,19,25,0.7136842105263158,0.7031578947368421,0.010526315789473717,-0.06736842105263163,0.08215789473684139,0.7646,10000
myeloid_inflammation,West_2017_OSM22,19,25,0.7136842105263158,0.6484210526315789,0.06526315789473691,-0.002105263157894721,0.14105263157894743,0.0668,10000
myeloid_inflammation,West_2017_OSM_OSMR,19,25,0.7136842105263158,0.7389473684210527,-0.025263157894736876,-0.08842105263157896,0.040000000000000036,0.434,10000
epithelial_ifn_damage,Arijs_2009_top5,19,25,0.47578947368421054,0.7031578947368421,-0.22736842105263155,-0.46315789473684216,0.025263157894736876,0.0778,10000
epithelial_ifn_damage,West_2017_OSM22,19,25,0.47578947368421054,0.6484210526315789,-0.17263157894736836,-0.4,0.054736842105263195,0.1388,10000
epithelial_ifn_damage,West_2017_OSM_OSMR,19,25,0.47578947368421054,0.7389473684210527,-0.26315789473684215,-0.48631578947368426,-0.02947368421052632,0.0292,10000
epithelial_barrier_maturity,Arijs_2009_top5,19,25,0.6673684210526316,0.7031578947368421,-0.03578947368421048,-0.2505263157894737,0.17263157894736847,0.7652,10000
epithelial_barrier_maturity,West_2017_OSM22,19,25,0.6673684210526316,0.6484210526315789,0.018947368421052713,-0.20842105263157884,0.24,0.8806,10000
epithelial_barrier_maturity,West_2017_OSM_OSMR,19,25,0.6673684210526316,0.7389473684210527,-0.07157894736842108,-0.2694736842105263,0.12421052631578955,0.5038,10000
stromal_fibroinflammatory,Arijs_2009_top5,19,25,0.6252631578947369,0.7031578947368421,-0.07789473684210524,-0.2021052631578948,0.04210526315789476,0.2068,10000
stromal_fibroinflammatory,West_2017_OSM22,19,25,0.6252631578947369,0.6484210526315789,-0.023157894736842044,-0.1557894736842106,0.111578947368421,0.735,10000
stromal_fibroinflammatory,West_2017_OSM_OSMR,19,25,0.6252631578947369,0.7389473684210527,-0.11368421052631583,-0.2210526315789474,-0.0189473684210526,0.0218,10000
