"signature","label","estimate","low","high","type"
"a  Myeloid inflammation","GSE16879 CD colon (12/7)",-2.51448473701199,-3.77278380086016,-1.25618567316383,"Cohort stratum"
"c  Epithelial IFN/damage","GSE16879 CD colon (12/7)",-1.01545368783302,-2.00814735755836,-0.0227600181076758,"Cohort stratum"
"b  Epithelial barrier maturity","GSE16879 CD colon (12/7)",0.850635469034345,-0.124397576483837,1.82566851455253,"Cohort stratum"
"d  Stromal fibroinflammatory","GSE16879 CD colon (12/7)",-1.7170755350469,-2.81346142299741,-0.620689647096379,"Cohort stratum"
"a  Myeloid inflammation","GSE16879 UC colon (8/16)",-1.11754825174958,-2.0282301689177,-0.206866334581463,"Cohort stratum"
"c  Epithelial IFN/damage","GSE16879 UC colon (8/16)",-0.714279526049978,-1.58883351678299,0.160274464683031,"Cohort stratum"
"b  Epithelial barrier maturity","GSE16879 UC colon (8/16)",0.786711042916531,-0.0932530710289783,1.66667515686204,"Cohort stratum"
"d  Stromal fibroinflammatory","GSE16879 UC colon (8/16)",-0.886727748807536,-1.77495628056587,0.00150078295080014,"Cohort stratum"
"a  Myeloid inflammation","GSE23597 UC colon (25/7)",-1.19873558049267,-2.09006504068339,-0.307406120301942,"Cohort stratum"
"c  Epithelial IFN/damage","GSE23597 UC colon (25/7)",-1.50932185238727,-2.43036479662356,-0.58827890815099,"Cohort stratum"
"b  Epithelial barrier maturity","GSE23597 UC colon (25/7)",0.367973714791305,-0.475313607950204,1.21126103753281,"Cohort stratum"
"d  Stromal fibroinflammatory","GSE23597 UC colon (25/7)",-0.985198785805143,-1.85961822094707,-0.110779350663217,"Cohort stratum"
"a  Myeloid inflammation","GSE92415 UC colon (32/27)",-0.743032092801539,-1.27306621564198,-0.212997969961095,"Cohort stratum"
"c  Epithelial IFN/damage","GSE92415 UC colon (32/27)",-0.318555793875543,-0.834066322479681,0.196954734728595,"Cohort stratum"
"b  Epithelial barrier maturity","GSE92415 UC colon (32/27)",0.360996635430888,-0.155455674747036,0.877448945608812,"Cohort stratum"
"d  Stromal fibroinflammatory","GSE92415 UC colon (32/27)",-0.262894359934676,-0.777345993530085,0.251557273660732,"Cohort stratum"
"a  Myeloid inflammation","E-MTAB-7604 colon (10/17)",-0.687356615476046,-1.4913693326971,0.116656101745009,"Cohort stratum"
"c  Epithelial IFN/damage","E-MTAB-7604 colon (10/17)",0.178445061162957,-0.604231758663372,0.961121880989286,"Cohort stratum"
"b  Epithelial barrier maturity","E-MTAB-7604 colon (10/17)",0.596700381411759,-0.201730960370908,1.39513172319443,"Cohort stratum"
"d  Stromal fibroinflammatory","E-MTAB-7604 colon (10/17)",-0.353560450800876,-1.14079666323146,0.433675761629705,"Cohort stratum"
"a  Myeloid inflammation","E-MTAB-7604 ileum (9/8)",-0.685178882410353,-1.66862265597606,0.298264891155359,"Cohort stratum"
"c  Epithelial IFN/damage","E-MTAB-7604 ileum (9/8)",-0.640333451925806,-1.61989955972212,0.339232655870511,"Cohort stratum"
"b  Epithelial barrier maturity","E-MTAB-7604 ileum (9/8)",0.945527058106515,-0.0651790648792895,1.95623318109232,"Cohort stratum"
"d  Stromal fibroinflammatory","E-MTAB-7604 ileum (9/8)",-0.170259666601879,-1.12459529928628,0.78407596608252,"Cohort stratum"
"b  Epithelial barrier maturity","REML pooled (4 cohorts)",0.56172650972065,0.182736244039176,0.940716775402124,"Pooled"
"c  Epithelial IFN/damage","REML pooled (4 cohorts)",-0.623401811585568,-1.53565485418006,0.288851231008924,"Pooled"
"a  Myeloid inflammation","REML pooled (4 cohorts)",-0.9934394923816,-1.66858531080439,-0.318293673958808,"Pooled"
"d  Stromal fibroinflammatory","REML pooled (4 cohorts)",-0.629733877398386,-1.40916820333933,0.149700448542562,"Pooled"
