signature,model,n,n_responder,n_non_responder,OR_response_per_SD,CI95_low,CI95_high,p_value
myeloid_inflammation,unadjusted,59,32,27,0.4406230072268202,0.22499316507526587,0.8629090329595517,0.016849552038689715
myeloid_inflammation,adjusted_Mayo_age,59,32,27,0.4741577700009799,0.24421939479339747,0.9205886004364974,0.02749394397184897
epithelial_ifn_damage,unadjusted,59,32,27,0.7155257676942187,0.42191748771974447,1.213453196740871,0.21420046141105553
epithelial_ifn_damage,adjusted_Mayo_age,59,32,27,0.7175860938029975,0.4254646696325014,1.2102762903068292,0.21336040057692807
epithelial_barrier_maturity,unadjusted,59,32,27,1.460871884983918,0.8535390984181039,2.500350210425931,0.16684467907122924
epithelial_barrier_maturity,adjusted_Mayo_age,59,32,27,1.4484346537579433,0.8322641473087299,2.520789767276434,0.19001813997267447
stromal_fibroinflammatory,unadjusted,59,32,27,0.7604313011548738,0.45290315408036497,1.2767757490014882,0.3002729971828233
stromal_fibroinflammatory,adjusted_Mayo_age,59,32,27,0.8064915564974428,0.47009304408584013,1.3836167943444366,0.43483900863697567
Arijs_2009_top5,unadjusted,59,32,27,0.652909840101974,0.3682591628953406,1.1575849354307506,0.14452647935418125
Arijs_2009_top5,adjusted_Mayo_age,59,32,27,0.7386998157665023,0.40414477286556716,1.350202834356529,0.32499799837996257
West_2017_OSM22,unadjusted,59,32,27,0.49400449794161494,0.2650656003399041,0.9206794230318998,0.02640639151708994
West_2017_OSM22,adjusted_Mayo_age,59,32,27,0.5161624539532513,0.28214069320103585,0.9442936991765503,0.031873449138077777
West_2017_OSM_OSMR,unadjusted,59,32,27,0.5566831314674863,0.3092317886617485,1.0021482920678146,0.050837899017892825
West_2017_OSM_OSMR,adjusted_Mayo_age,59,32,27,0.6092598817892644,0.3314143363791276,1.1200408757611195,0.11069614282788545
