cohort,stratum,signature,signature_type,n_responder,n_non_responder,mean_responder,mean_non_responder,cliffs_delta_R_vs_NR,AUC_nonresponse_high,hedges_g_R_minus_NR,variance_g,se_g,ci95_low_g,ci95_high_g
GSE16879,GSE16879_CD_colon,myeloid_inflammation,current_module,12,7,-0.6158756690325654,0.6782889582213023,-0.9761904761904762,0.9880952380952381,-2.514484737011995,0.412150284798308,0.6419893182898825,-3.7727838008601644,-1.2561856731638252
GSE16879,GSE16879_CD_colon,epithelial_ifn_damage,current_module,12,7,-0.22301856212389579,0.5156423906931903,-0.5476190476190477,0.7738095238095238,-1.015453687833018,0.25651830537087844,0.5064763621047664,-2.0081473575583604,-0.022760018107675806
GSE16879,GSE16879_CD_colon,epithelial_barrier_maturity,current_module,12,7,0.5043174422763895,0.019478135020405248,0.47619047619047616,0.2619047619047619,0.8506354690343451,0.24747226151927854,0.49746583955009266,-0.12439757648383654,1.8256685145525267
GSE16879,GSE16879_CD_colon,stromal_fibroinflammatory,current_module,12,7,-0.44383899389499754,0.5101334509397882,-0.8095238095238095,0.9047619047619048,-1.7170755350468967,0.31290660539802284,0.5593805550767946,-2.813461422997414,-0.6206896470963792
GSE16879,GSE16879_CD_colon,Arijs_2009_top5,published_benchmark,12,7,-0.6826827387583965,0.42167627787546735,-1.0,1.0,-3.208963311877452,0.5290565213956381,0.7273627165284443,-4.634594236273203,-1.7833323874817013
GSE16879,GSE16879_CD_colon,West_2017_OSM22,published_benchmark,12,7,-0.48945828557289045,0.4939451874980449,-0.9285714285714286,0.9642857142857143,-2.5912458327374783,0.42367738694575113,0.6509050521740871,-3.867019734998689,-1.3154719304762676
GSE16879,GSE16879_CD_colon,West_2017_OSM_OSMR,published_benchmark,12,7,-0.7615674217070946,0.5457580629039713,-0.9047619047619048,0.9523809523809523,-2.0675123275096605,0.3519142180847237,0.5932235818683573,-3.230230547971641,-0.9047941070476802
GSE16879,GSE16879_UC_colon,myeloid_inflammation,current_module,8,16,-0.4648863447603643,0.3975985049327865,-0.625,0.8125,-1.117548251749582,0.21588441124973973,0.4646336312082238,-2.028230168917701,-0.20686633458146342
GSE16879,GSE16879_UC_colon,epithelial_ifn_damage,current_module,8,16,-0.36687798469469085,0.12510936801199635,-0.546875,0.7734375,-0.7142795260499782,0.19909534639395868,0.44620101568010656,-1.5888335167829872,0.16027446468303064
GSE16879,GSE16879_UC_colon,epithelial_barrier_maturity,current_module,8,16,0.028555819288592826,-0.40103767542301627,0.5,0.25,0.7867110429165313,0.20156623329651854,0.44896128262525997,-0.09325307102897828,1.6666751568620408
GSE16879,GSE16879_UC_colon,stromal_fibroinflammatory,current_module,8,16,-0.3639793222190023,0.2916855217445918,-0.515625,0.7578125,-0.8867277488075364,0.2053701386478473,0.4531778223256819,-1.7749562805658727,0.0015007829508001391
GSE16879,GSE16879_UC_colon,Arijs_2009_top5,published_benchmark,8,16,-0.6373957472709424,0.6462265561337518,-0.8125,0.90625,-1.4152129524413364,0.23301881138085737,0.48272022060491454,-2.361344584826969,-0.4690813200557039
GSE16879,GSE16879_UC_colon,West_2017_OSM22,published_benchmark,8,16,-0.515962570822392,0.40897398006046926,-0.84375,0.921875,-1.563558191857983,0.2430616868028683,0.4930128667721242,-2.5298634107313465,-0.5972529729846197
