current_module,published_signature,n_current,n_published,n_overlap,overlap_genes,jaccard,overlap_coefficient,hypergeometric_p,gene_universe_n
myeloid_inflammation,Arijs_2009_top5,9,5,0,,0.0,0.0,1.0,42937
myeloid_inflammation,West_2017_OSM22,9,22,5,CCL3;CCL4;CXCL8;IL1B;OSM,0.19230769230769232,0.5555555555555556,2.725448318930646e-15,42937
myeloid_inflammation,West_2017_OSM_OSMR,9,2,1,OSM,0.1,0.5,0.00041917980030096747,42937
epithelial_ifn_damage,Arijs_2009_top5,9,5,0,,0.0,0.0,1.0,42937
epithelial_ifn_damage,West_2017_OSM22,9,22,1,CXCL10,0.03333333333333333,0.1111111111111111,0.004602395451740166,42937
epithelial_ifn_damage,West_2017_OSM_OSMR,9,2,0,,0.0,0.0,1.0,42937
epithelial_barrier_maturity,Arijs_2009_top5,8,5,0,,0.0,0.0,1.0,42937
epithelial_barrier_maturity,West_2017_OSM22,8,22,0,,0.0,0.0,1.0,42937
epithelial_barrier_maturity,West_2017_OSM_OSMR,8,2,0,,0.0,0.0,1.0,42937
stromal_fibroinflammatory,Arijs_2009_top5,11,5,1,IL11,0.06666666666666667,0.2,0.001280349950930589,42937
stromal_fibroinflammatory,West_2017_OSM22,11,22,1,IL11,0.03125,0.09090909090909091,0.005622400615642811,42937
stromal_fibroinflammatory,West_2017_OSM_OSMR,11,2,1,OSMR,0.08333333333333333,0.5,0.0005123189334915399,42937
