signature,signature_type,meta_scope,k,pooled_g_reml,se_naive,ci95_low_hk,ci95_high_hk,p_hk,tau2_reml,Q,Q_p,I2_percent
Arijs_2009_top5,published_benchmark,all_strata_secondary,6,-1.188193877080482,0.37905276333270466,-2.223760387295221,-0.15262736686574319,0.03190575940134398,0.6355726785905048,18.7545655581443,0.002135280196202947,73.33982499088754
Arijs_2009_top5,published_benchmark,four_independent_cohorts_primary,4,-1.0922108149844523,0.39425130703477784,-2.341873398898596,0.15745176892969148,0.06890610994728577,0.48753897735063534,14.265334142823168,0.002565357452732049,78.96999838935221
Arijs_2009_top5,published_benchmark,four_independent_colon_cohorts_sensitivity,4,-1.077353252407749,0.4126706913333382,-2.383620288681378,0.22891378386588013,0.07867958392806412,0.5302279533471825,14.459749472235472,0.0023416830745622034,79.25275257527542
West_2017_OSM22,published_benchmark,all_strata_secondary,6,-1.0700453235028395,0.3130939618178265,-1.9196421836465056,-0.22044846335917356,0.02301101597215716,0.3792213381027668,13.835667727162622,0.016687670680416083,63.86152010441938
West_2017_OSM22,published_benchmark,four_independent_cohorts_primary,4,-1.0509778960023266,0.3618616399273927,-2.1996488004627466,0.09769300845809337,0.061907005595012304,0.3943406725199539,12.143518483302115,0.006907353236211589,75.29546313842125
West_2017_OSM22,published_benchmark,four_independent_colon_cohorts_sensitivity,4,-1.0529653743693363,0.3725233961152273,-2.240736579628283,0.1348058308896103,0.06666919073723046,0.40900318689136334,11.478634864902538,0.009400243703779633,73.86448793512109
West_2017_OSM_OSMR,published_benchmark,all_strata_secondary,6,-0.940925813207345,0.20618926343903754,-1.4874027698860366,-0.3944488565286536,0.006853325653464552,0.07272483211579919,7.329673439332986,0.1972537504395763,31.784136887072428
West_2017_OSM_OSMR,published_benchmark,four_independent_cohorts_primary,4,-0.9329012133579466,0.22650724274263118,-1.648404656460984,-0.21739777025490914,0.025434397345957708,0.08731229134440908,5.186908523360933,0.15861136752175595,42.162080042697454
West_2017_OSM_OSMR,published_benchmark,four_independent_colon_cohorts_sensitivity,4,-0.9383216849916166,0.24302503393020364,-1.692400027979603,-0.18424334200363024,0.028753835409034537,0.10204787440090388,5.261251476234671,0.1536365776862081,42.97934600634191
epithelial_barrier_maturity,current_module,all_strata_secondary,6,0.5617292602377049,0.16097229742962604,0.3044593502272966,0.8189991702481132,0.0024833404776291594,5.363445511637438e-06,1.9328579609834535,0.8583552580772962,0.0
epithelial_barrier_maturity,current_module,four_independent_cohorts_primary,4,0.56172650972065,0.16097325284275854,0.18273624403917615,0.9407167754021237,0.01804423152933223,5.363445511637438e-06,1.6419973237774372,0.6499051388856774,0.0
epithelial_barrier_maturity,current_module,four_independent_colon_cohorts_sensitivity,4,0.5202908023876993,0.16943980610980106,0.16397200386528388,0.8766096009101148,0.018789615145141974,5.363445511637438e-06,1.3099935368815907,0.7267613910361954,0.0
epithelial_ifn_damage,current_module,all_strata_secondary,6,-0.606101949204789,0.2345051828696314,-1.2077584447361391,-0.004445453673438848,0.04886198969338864,0.1522571300695672,9.27389318786925,0.09862566955290102,46.08521039965968
epithelial_ifn_damage,current_module,four_independent_cohorts_primary,4,-0.6234018115855676,0.2706355750620924,-1.5356548541800596,0.2888512310089244,0.11792620418508669,0.17756466825575726,7.43665007564066,0.05920872029527248,59.65925558570062
epithelial_ifn_damage,current_module,four_independent_colon_cohorts_sensitivity,4,-0.5873577238043096,0.32760752093256185,-1.679733308406386,0.5050178607977668,0.18557516545242148,0.29608781984005267,9.025293153339682,0.0289564835912897,66.76008248120016
myeloid_inflammation,current_module,all_strata_secondary,6,-0.9728675711838765,0.177294974785119,-1.5215935230117394,-0.4241416193560136,0.006070580453419254,0.014630114152443498,7.638982123716407,0.17728651371621032,34.54625342718472
myeloid_inflammation,current_module,four_independent_cohorts_primary,4,-0.9934394923815997,0.21295196287815438,-1.668585310804391,-0.31829367395880825,0.01840288786245011,0.06291798397356807,4.5317674313228995,0.20947414781626178,33.80066286578503
myeloid_inflammation,current_module,four_independent_colon_cohorts_sensitivity,4,-1.020009459231619,0.2207088000505443,-1.701787111523893,-0.33823180693934485,0.01759148355307175,0.060615150508069315,4.195554470939554,0.241107343976315,28.495744226908364
stromal_fibroinflammatory,current_module,all_strata_secondary,6,-0.6262029804287854,0.20701439849689202,-1.185325918314457,-0.06708004254311384,0.0346291511424684,0.08305464577199816,7.892049077684337,0.16228622323590597,36.64509747996795
stromal_fibroinflammatory,current_module,four_independent_cohorts_primary,4,-0.6297338773983856,0.24773423799949806,-1.4091682033393331,0.14970044854256181,0.08240596079063753,0.1319555965275857,6.477387201374461,0.09055857545204139,53.68502905981259
stromal_fibroinflammatory,current_module,four_independent_colon_cohorts_sensitivity,4,-0.6664692118966153,0.2490941784153233,-1.4284074675067386,0.09546904371350795,0.06877880059996498,0.11948119055013044,5.822572793372082,0.12056886120963817,48.47638481368678
