cohort,signature,n_requested,n_present,coverage,present_genes,missing_genes
GSE16879,myeloid_inflammation,9,8,0.8888888888888888,IL1B;TNF;CXCL8;SPP1;OSM;IL1RN;CCL4;NFKBIA,CCL3
GSE16879,epithelial_ifn_damage,9,9,1.0,ISG15;IFIT1;IFIT2;IFIT3;IFI6;MX1;CXCL10;HLA-DRA;HLA-DRB1,
GSE16879,epithelial_barrier_maturity,8,8,1.0,MUC2;TFF3;KRT20;CA1;CA2;BEST4;OTOP2;SLC26A3,
GSE16879,stromal_fibroinflammatory,11,11,1.0,COL1A1;COL3A1;DCN;LUM;CXCL12;IL11;OSMR;CCL19;CXCL13;WNT2B;RSPO3,
GSE16879,Arijs_2009_top5,5,5,1.0,TNFRSF11B;STC1;PTGS2;IL13RA2;IL11,
GSE16879,West_2017_OSM22,22,21,0.9545454545454546,OSM;IL1B;IL1A;IL6;IL11;CSF2;CSF3;IFNG;IL17A;IL22;CXCL1;CXCL2;CXCL3;CXCL5;CXCL6;CXCL8;CCL2;CCL4;CXCL9;CXCL10;CXCL11,CCL3
GSE16879,West_2017_OSM_OSMR,2,2,1.0,OSM;OSMR,
GSE23597,myeloid_inflammation,9,8,0.8888888888888888,IL1B;TNF;CXCL8;SPP1;OSM;IL1RN;CCL4;NFKBIA,CCL3
GSE23597,epithelial_ifn_damage,9,9,1.0,ISG15;IFIT1;IFIT2;IFIT3;IFI6;MX1;CXCL10;HLA-DRA;HLA-DRB1,
GSE23597,epithelial_barrier_maturity,8,8,1.0,MUC2;TFF3;KRT20;CA1;CA2;BEST4;OTOP2;SLC26A3,
GSE23597,stromal_fibroinflammatory,11,11,1.0,COL1A1;COL3A1;DCN;LUM;CXCL12;IL11;OSMR;CCL19;CXCL13;WNT2B;RSPO3,
GSE23597,Arijs_2009_top5,5,5,1.0,TNFRSF11B;STC1;PTGS2;IL13RA2;IL11,
GSE23597,West_2017_OSM22,22,21,0.9545454545454546,OSM;IL1B;IL1A;IL6;IL11;CSF2;CSF3;IFNG;IL17A;IL22;CXCL1;CXCL2;CXCL3;CXCL5;CXCL6;CXCL8;CCL2;CCL4;CXCL9;CXCL10;CXCL11,CCL3
GSE23597,West_2017_OSM_OSMR,2,2,1.0,OSM;OSMR,
GSE92415,myeloid_inflammation,9,8,0.8888888888888888,IL1B;TNF;CXCL8;SPP1;OSM;IL1RN;CCL4;NFKBIA,CCL3
GSE92415,epithelial_ifn_damage,9,9,1.0,ISG15;IFIT1;IFIT2;IFIT3;IFI6;MX1;CXCL10;HLA-DRA;HLA-DRB1,
GSE92415,epithelial_barrier_maturity,8,8,1.0,MUC2;TFF3;KRT20;CA1;CA2;BEST4;OTOP2;SLC26A3,
GSE92415,stromal_fibroinflammatory,11,11,1.0,COL1A1;COL3A1;DCN;LUM;CXCL12;IL11;OSMR;CCL19;CXCL13;WNT2B;RSPO3,
GSE92415,Arijs_2009_top5,5,5,1.0,TNFRSF11B;STC1;PTGS2;IL13RA2;IL11,
GSE92415,West_2017_OSM22,22,21,0.9545454545454546,OSM;IL1B;IL1A;IL6;IL11;CSF2;CSF3;IFNG;IL17A;IL22;CXCL1;CXCL2;CXCL3;CXCL5;CXCL6;CXCL8;CCL2;CCL4;CXCL9;CXCL10;CXCL11,CCL3
GSE92415,West_2017_OSM_OSMR,2,2,1.0,OSM;OSMR,
E-MTAB-7604,myeloid_inflammation,9,9,1.0,IL1B;TNF;CXCL8;SPP1;OSM;IL1RN;CCL3;CCL4;NFKBIA,
E-MTAB-7604,epithelial_ifn_damage,9,9,1.0,ISG15;IFIT1;IFIT2;IFIT3;IFI6;MX1;CXCL10;HLA-DRA;HLA-DRB1,
E-MTAB-7604,epithelial_barrier_maturity,8,8,1.0,MUC2;TFF3;KRT20;CA1;CA2;BEST4;OTOP2;SLC26A3,
E-MTAB-7604,stromal_fibroinflammatory,11,11,1.0,COL1A1;COL3A1;DCN;LUM;CXCL12;IL11;OSMR;CCL19;CXCL13;WNT2B;RSPO3,
E-MTAB-7604,Arijs_2009_top5,5,5,1.0,TNFRSF11B;STC1;PTGS2;IL13RA2;IL11,
E-MTAB-7604,West_2017_OSM22,22,22,1.0,OSM;IL1B;IL1A;IL6;IL11;CSF2;CSF3;IFNG;IL17A;IL22;CXCL1;CXCL2;CXCL3;CXCL5;CXCL6;CXCL8;CCL2;CCL3;CCL4;CXCL9;CXCL10;CXCL11,
E-MTAB-7604,West_2017_OSM_OSMR,2,2,1.0,OSM;OSMR,
