lineage,Disease,stratum,n_remission,n_non_remission,median_remission,median_non_remission,median_diff,mannwhitney_p,cliffs_delta,fdr_q,analysis,fdr_q_global
myeloid,CD,C1Qhi IL1Blo macro,10,5,0.19878762541806022,0.11176470588235295,0.08702291953570727,0.000666000666000666,1.0,0.014652014652014652,within_lineage_proportion,0.03796203796203796
epicolonic,UC,Non ileal goblet,4,12,0.11833366961625963,0.06174914410208528,0.05658452551417435,0.019780219780219783,0.7916666666666666,0.19780219780219782,within_lineage_proportion,0.5637362637362638
myeloid,CD,CD1Chi DC,10,5,0.22041982854997144,0.3168465337479422,-0.09642670519797075,0.03996003996003995,-0.68,0.4395604395604395,within_lineage_proportion,0.7592407592407592
myeloid,UC,S100A8 A9hi mono,4,13,0.3214264672051224,0.2396544181977253,0.08177204900739712,0.07899159663865546,0.6153846153846154,0.5792717086834734,within_lineage_proportion,0.9005042016806722
fibperi,UC,NOTCH3hi TNChi LOXL2pos pericyte,4,13,0.08750943607840875,0.024691358024691357,0.06281807805371739,0.07899159663865546,0.6153846153846154,0.8204334365325077,within_lineage_proportion,0.9005042016806722
epicolonic,UC,Non ileal undiff enterocyte,4,13,0.18064098493384736,0.214190093708166,-0.03354910877431863,0.10168067226890756,-0.5769230769230769,0.5084033613445378,within_lineage_proportion,0.9352941176470586
fibperi,UC,NOTCH3hi MYH11pos pericyte,4,13,0.06520984920188036,0.033950617283950615,0.031259231917929745,0.16302521008403362,0.5,0.8204334365325077,within_lineage_proportion,0.9352941176470586
fibperi,UC,SOX6pos POSTNpos NRG1hi NPYpos fibroblast,4,11,0.03595812863477078,0.056699622216863595,-0.020741493582092818,0.1772893772893773,-0.5,0.8204334365325077,within_lineage_proportion,0.9352941176470586
fibperi,CD,THY1pos FAPpos PDPNpos fibroblast,7,3,0.01943849031227672,0.17391304347826086,-0.15447455316598413,0.18333333333333335,-0.6190476190476191,0.8204334365325077,within_lineage_proportion,0.9352941176470586
fibperi,CD,NOTCH3hi TNChi LOXL2pos pericyte,10,5,0.03762068007370295,0.08391328362330848,-0.04629260354960553,0.20646020646020646,-0.44,0.8204334365325077,within_lineage_proportion,0.9352941176470586
myeloid,CD,S100A8 A9hi TNFhi IL6pos mono,10,5,0.03785978668856745,0.03663049279487636,0.0012292938936910927,0.2544122544122544,0.4,0.9411302982731552,within_lineage_proportion,0.9352941176470586
fibperi,CD,C3hi RSPO3pos fibroblast,9,3,0.06285714285714286,0.09523809523809523,-0.03238095238095237,0.2818181818181818,-0.48148148148148145,0.8204334365325077,within_lineage_proportion,0.9352941176470586
fibperi,CD,ABCA8pos WNT2Bpos FOSlo fibroblast,10,4,0.1656670628450599,0.30354726840098056,-0.13788020555592068,0.30369630369630374,-0.4,0.8204334365325077,within_lineage_proportion,0.9352941176470586
myeloid,CD,LAMP3pos IL1Bpos DC,10,5,0.022414779321913637,0.028411314712684578,-0.005996535390770941,0.3096903096903097,-0.36,0.9411302982731552,within_lineage_proportion,0.9352941176470586
myeloid,CD,Mast,10,5,0.05154562332593063,0.039705882352941174,0.011839740972989454,0.3096903096903097,0.36,0.9411302982731552,within_lineage_proportion,0.9352941176470586
fibperi,CD,CD74hi HLADRB1hi arterial pericyte,10,5,0.13231217695304487,0.14285714285714285,-0.01054496590409798,0.3096903096903097,0.36,0.8204334365325077,within_lineage_proportion,0.9352941176470586
epicolonic,UC,Non ileal BEST4 OTOP2,4,11,0.0122096444483719,0.019247594050743656,-0.007037949602371755,0.34285714285714286,-0.36363636363636365,0.9527472527472527,within_lineage_proportion,0.9352941176470586
fibperi,UC,SOX6pos POSTNpos fibroblast,4,13,0.08194952188460221,0.13322100984167737,-0.05127148795707516,0.35042016806722687,-0.34615384615384615,0.8204334365325077,within_lineage_proportion,0.9352941176470586
fibperi,CD,ABCA8pos WNT2Bpos FOShi fibroblast,8,5,0.12257837471084326,0.0626353650990099,0.05994300961183337,0.3543123543123543,0.35,0.8204334365325077,within_lineage_proportion,0.9352941176470586
fibperi,CD,NOTCH3hi TNClo pericyte,10,5,0.13963403469681215,0.07142857142857142,0.06820546326824073,0.37096237096237095,0.32,0.8204334365325077,within_lineage_proportion,0.9352941176470586
myeloid,UC,C1Qhi IL1Blo macro,4,13,0.14222154217919436,0.19672131147540983,-0.05449976929621547,0.4117647058823529,-0.3076923076923077,0.9411302982731552,within_lineage_proportion,0.9352941176470586
fibperi,CD,SOX6pos POSTNpos fibroblast,9,4,0.09142857142857143,0.07790238160992097,0.013526189818650461,0.413986013986014,0.3333333333333333,0.8204334365325077,within_lineage_proportion,0.9352941176470586
fibperi,UC,Myofibroblast,4,12,0.030346195932453704,0.04447766620908282,-0.014131470276629116,0.4461538461538461,-0.2916666666666667,0.8204334365325077,within_lineage_proportion,0.9352941176470586
myeloid,UC,XCR1pos DC,4,13,0.04380284289841136,0.028169014084507043,0.015633828813904318,0.46146816768960197,0.2692307692307692,0.9411302982731552,within_lineage_proportion,0.9352941176470586
fibperi,UC,NOTCH3hi TNClo pericyte,4,13,0.24241627822436668,0.11419753086419752,0.12821874736016914,0.47731092436974787,0.2692307692307692,0.8204334365325077,within_lineage_proportion,0.9352941176470586
fibperi,CD,Myofibroblast,9,4,0.037012362128951065,0.046275146816152204,-0.00926278468720114,0.5034965034965035,-0.2777777777777778,0.8204334365325077,within_lineage_proportion,0.9352941176470586
myeloid,CD,Cycling MNP,10,5,0.032330761381553164,0.027236144137552588,0.005094617244000576,0.5134865134865134,0.24,0.9411302982731552,within_lineage_proportion,0.9352941176470586
myeloid,CD,pDC,10,5,0.019730876030017303,0.029411764705882353,-0.00968088867586505,0.5134865134865134,-0.24,0.9411302982731552,within_lineage_proportion,0.9352941176470586
myeloid,CD,XCR1pos DC,10,5,0.034181096857708274,0.04918032786885246,-0.014999231011144185,0.5134865134865134,-0.24,0.9411302982731552,within_lineage_proportion,0.9352941176470586
fibperi,UC,NOTCH3hi TNCint CCL19pos pericyte,4,13,0.04861937135644835,0.026042348456141562,0.02257702290030679,0.5487394957983193,0.23076923076923078,0.8204334365325077,within_lineage_proportion,0.9352941176470586
myeloid,CD,S100A8 A9hi mono,10,5,0.14554626643892798,0.1659491193737769,-0.02040285293484892,0.594072594072594,-0.2,0.9411302982731552,within_lineage_proportion,0.9352941176470586
myeloid,CD,LAMP3pos DC,10,5,0.03189102564102564,0.04652197117950543,-0.014630945538479788,0.594072594072594,-0.2,0.9411302982731552,within_lineage_proportion,0.9352941176470586
myeloid,UC,LAMP3pos DC,4,12,0.026602924617606417,0.031197909471842335,-0.004594984854235918,0.5989010989010988,-0.20833333333333334,0.9411302982731552,within_lineage_proportion,0.9352941176470586
fibperi,UC,ABCA8pos WNT2Bpos FOSlo fibroblast,4,12,0.06914510562657987,0.1472672681093207,-0.07812216248274083,0.5989010989010988,-0.20833333333333334,0.8204334365325077,within_lineage_proportion,0.9352941176470586
fibperi,UC,ABCA8pos WNT2Bpos FOShi fibroblast,3,13,0.07130718954248366,0.07488986784140969,-0.0035826782989260286,0.6107142857142858,0.23076923076923078,0.8204334365325077,within_lineage_proportion,0.9352941176470586
fibperi,UC,C3hi RSPO3pos fibroblast,4,13,0.02890608785478943,0.03608247422680412,-0.00717638637201469,0.6235294117647058,-0.19230769230769232,0.8204334365325077,within_lineage_proportion,0.9352941176470586
epicolonic,UC,Non ileal TA,4,13,0.16685228502668042,0.16344725111441308,0.0034050339122673468,0.6235294117647058,0.19230769230769232,0.9527472527472527,within_lineage_proportion,0.9352941176470586
epicolonic,UC,Non ileal enterocyte DUOXA2pos,4,13,0.050665329950632366,0.03650793650793651,0.014157393442695856,0.6235294117647058,0.19230769230769232,0.9527472527472527,within_lineage_proportion,0.9352941176470586
myeloid,UC,S100A8 A9hi TNFhi IL6pos mono,4,12,0.03167964382111687,0.024442475262147392,0.007237168558969477,0.6835164835164834,0.16666666666666666,0.9947946790052054,within_lineage_proportion,0.9910771581359817
epicolonic,UC,Non ileal LGR5pos stem,4,13,0.10462120803600983,0.09114082339361293,0.013480384642396898,0.7033613445378151,0.15384615384615385,0.9527472527472527,within_lineage_proportion,0.9910771581359817
myeloid,UC,pDC,4,10,0.02603866589847001,0.029772370105390935,-0.0037337042069209257,0.7332667332667333,-0.15,0.9947946790052054,within_lineage_proportion,0.9910771581359817
fibperi,UC,THY1pos FAPpos PDPNpos fibroblast,4,11,0.04065412765942991,0.04081632653061224,-0.00016219887118232995,0.7531135531135531,-0.13636363636363635,0.9413919413919414,within_lineage_proportion,0.9910771581359817
epicolonic,UC,Non ileal enterocyte DUOXA2pos CXCL11pos,4,13,0.02961378310194312,0.019247594050743656,0.010366189051199463,0.7848739495798319,0.11538461538461539,0.9527472527472527,within_lineage_proportion,0.9910771581359817
myeloid,UC,LAMP3pos IL1Bpos DC,4,13,0.019783479181016757,0.0171990171990172,0.0025844619819995578,0.7848739495798319,0.11538461538461539,0.9947946790052054,within_lineage_proportion,0.9910771581359817
fibperi,CD,NOTCH3hi MYH11pos pericyte,9,4,0.08396171650566364,0.057282913165266104,0.026678803340397537,0.8251748251748252,0.1111111111111111,0.9823509823509824,within_lineage_proportion,0.9910771581359817
myeloid,UC,Cycling MNP,4,12,0.04269360242883932,0.040491803278688523,0.002201799150150799,0.855554773941951,-0.08333333333333333,0.9947946790052054,within_lineage_proportion,0.9910771581359817
