disease,cell_state,module,n_remission,n_non_remission,median_remission,median_non_remission,median_diff_rem_minus_non,mannwhitney_p,cliffs_delta,fdr_q
UC,Non ileal CT colonocyte,epithelial_ifn_damage,4,12,1.9504728853520814,1.3320879340171814,0.6183849513349,0.05824175824175824,0.6666666666666666,0.6212454212454213
UC,Non ileal goblet,epithelial_ifn_damage,4,11,1.4603805883389684,0.9528867900371552,0.5074937983018133,0.07765567765567766,0.6363636363636364,0.6212454212454213
UC,Non ileal undiff enterocyte,epithelial_barrier_maturity,4,12,2.352013473809861,2.518089979652345,-0.1660765058424838,0.21208791208791208,-0.4583333333333333,0.6945054945054944
UC,Non ileal enterocyte PLCG2hi,epithelial_ifn_damage,4,11,0.9380005153818805,0.6013832688331604,0.33661724654872005,0.27985347985347986,0.4090909090909091,0.6945054945054944
UC,Non ileal undiff enterocyte,epithelial_ifn_damage,4,12,1.7144875853128336,1.4197596441144529,0.29472794119838075,0.3791208791208791,0.3333333333333333,0.6945054945054944
UC,Non ileal TA,epithelial_barrier_maturity,4,12,1.4789498718351557,1.4091907739639282,0.06975909787122747,0.3791208791208791,0.3333333333333333,0.6945054945054944
UC,Non ileal enterocyte PLCG2hi,epithelial_barrier_maturity,4,11,1.0906428619859942,1.2025763557312337,-0.11193349374523942,0.4117216117216117,-0.3181818181818182,0.6945054945054944
UC,Non ileal enterocyte DUOXA2pos,epithelial_ifn_damage,4,9,2.110937381500437,2.0656731128692627,0.045264268631174165,0.413986013986014,0.3333333333333333,0.6945054945054944
UC,Non ileal TA,epithelial_ifn_damage,4,12,1.8140183016840783,1.684190034866333,0.12982826681774529,0.4461538461538461,0.2916666666666667,0.6945054945054944
UC,Non ileal goblet,epithelial_barrier_maturity,4,11,2.283182321535134,2.245468854904175,0.037713466630959314,0.48937728937728936,0.2727272727272727,0.6945054945054944
UC,Non ileal enterocyte DUOXA2pos,epithelial_barrier_maturity,4,9,3.251384831433338,3.20174503326416,0.04963979816917785,0.5034965034965035,0.2777777777777778,0.6945054945054944
UC,Non ileal LGR5pos stem,epithelial_ifn_damage,4,12,2.1251842572073047,1.8867191672325134,0.23846508997479132,0.5208791208791208,0.25,0.6945054945054944
UC,Non ileal enterocyte DUOXA2pos CXCL11pos,epithelial_barrier_maturity,4,6,1.9454262063309953,2.156816658821512,-0.2113904524905168,0.6095238095238095,-0.25,0.729084249084249
UC,Non ileal LGR5pos stem,epithelial_barrier_maturity,4,12,1.2213425233515913,1.1937239170074463,0.027618606344145036,0.6835164835164834,-0.16666666666666666,0.729084249084249
UC,Non ileal CT colonocyte,epithelial_barrier_maturity,4,12,3.374342148043544,3.5410614013671875,-0.16671925332364346,0.6835164835164834,-0.16666666666666666,0.729084249084249
UC,Non ileal enterocyte DUOXA2pos CXCL11pos,epithelial_ifn_damage,4,6,2.750316089705417,2.8143898248672485,-0.06407373516183146,0.9142857142857143,0.08333333333333333,0.9142857142857143
