disease,cell_state,module,n_remission,n_non_remission,median_remission,median_non_remission,median_diff_rem_minus_non,mannwhitney_p,cliffs_delta,fdr_q
CD,CD74hi HLADRB1hi arterial pericyte,stromal_fibroinflammatory,10,3,2.2914389419083547,1.8742477782070637,0.41719116370129106,0.16083916083916086,0.6,0.9166666666666666
UC,NOTCH3hi MYH11pos pericyte,stromal_fibroinflammatory,4,7,0.7835559751560439,0.9355915477781584,-0.15203557262211453,0.16363636363636364,-0.5714285714285714,0.9166666666666666
CD,SOX6pos POSTNpos fibroblast,stromal_fibroinflammatory,7,3,2.293607999538553,1.934665322303772,0.358942677234781,0.18333333333333335,0.6190476190476191,0.9166666666666666
CD,NOTCH3hi TNClo pericyte,stromal_fibroinflammatory,10,3,1.697969138622284,1.590545317222332,0.10742382139995188,0.3706293706293706,0.4,0.9615384615384615
UC,Myofibroblast,stromal_fibroinflammatory,3,8,3.0209386199712753,3.235629919196377,-0.21469129922510177,0.3757575757575758,-0.4166666666666667,0.9615384615384615
UC,NOTCH3hi TNClo pericyte,stromal_fibroinflammatory,4,13,1.8521562667321934,1.7885030799777195,0.06365318675447384,0.47731092436974787,0.2692307692307692,0.9615384615384615
UC,ABCA8pos WNT2Bpos FOSlo fibroblast,stromal_fibroinflammatory,3,11,3.180785766669682,3.363072633743286,-0.18228686707360398,0.554945054945055,-0.2727272727272727,0.9615384615384615
UC,NOTCH3hi TNCint CCL19pos pericyte,stromal_fibroinflammatory,4,9,2.0637193982319166,2.1301269714648905,-0.06640757323297386,0.6041958041958042,-0.2222222222222222,0.9615384615384615
CD,ABCA8pos WNT2Bpos FOSlo fibroblast,stromal_fibroinflammatory,8,3,3.2714269161224365,3.4036335310490013,-0.13220661492656482,0.6303030303030304,-0.25,0.9615384615384615
UC,SOX6pos POSTNpos fibroblast,stromal_fibroinflammatory,3,9,2.878937252497269,3.010495662689209,-0.13155841019194003,0.7272727272727273,-0.18518518518518517,0.9615384615384615
UC,ABCA8pos WNT2Bpos FOShi fibroblast,stromal_fibroinflammatory,3,11,2.9798971566577888,2.696126937866211,0.2837702187915778,0.7692307692307692,0.15151515151515152,0.9615384615384615
UC,NOTCH3hi TNChi LOXL2pos pericyte,stromal_fibroinflammatory,4,7,2.2792384326457977,2.3333380222320557,-0.054099589586257935,0.7878787878787878,-0.14285714285714285,0.9615384615384615
UC,SOX6pos POSTNpos NRG1hi NPYpos fibroblast,stromal_fibroinflammatory,3,7,2.892418110812152,3.1232478618621826,-0.23082975105003056,0.8333333333333333,-0.14285714285714285,0.9615384615384615
UC,THY1pos FAPpos PDPNpos fibroblast,stromal_fibroinflammatory,3,8,3.676643133163452,3.6412838136448578,0.03535931951859439,0.9212121212121214,0.08333333333333333,0.9870129870129871
UC,CD74hi HLADRB1hi arterial pericyte,stromal_fibroinflammatory,4,13,2.3556943349451887,2.307152032852173,0.0485423020930158,1.0,0.0,1.0
