disease,cell_state,n_remission,n_non_remission,median_remission,median_non_remission,median_diff_rem_minus_non,mannwhitney_p,cliffs_delta,fdr_q
UC,C1Qhi IL1Blo macro,4,10,2.6680764879659824,1.6473517992279745,1.020724688738008,0.2397602397602398,0.45,0.8512820512820513
UC,Mast,3,6,0.9458056856756625,0.7394023778145773,0.20640330786108518,0.26190476190476186,0.5555555555555556,0.8512820512820513
CD,S100A8 A9hi mono,9,5,3.89441543008482,4.168964463472366,-0.274549033387546,0.36363636363636365,-0.3333333333333333,0.8512820512820513
CD,S100A8 A9hi TNFhi IL6pos mono,7,3,0.7946428656578064,2.4819061756134033,-1.687263309955597,0.3833333333333333,-0.42857142857142855,0.8512820512820513
CD,XCR1pos DC,6,5,1.94035354638711,2.202260732650757,-0.26190718626364684,0.42857142857142855,-0.3333333333333333,0.8512820512820513
CD,C1Qhi IL1Blo macro,10,5,0.7608945816755295,1.2763571739196777,-0.5154625922441483,0.43956043956043955,-0.28,0.8512820512820513
CD,LAMP3pos IL1Bpos DC,4,4,4.020629622719505,3.558354139328003,0.46227548339150193,0.4857142857142857,0.375,0.8512820512820513
UC,S100A8 A9hi mono,4,10,3.5755644559796687,3.7246651649475098,-0.1491007089678411,0.5394605394605395,-0.25,0.8512820512820513
CD,CD1Chi DC,10,5,3.4892864097123857,3.485297918319702,0.003988491392683535,0.6786546786546787,0.16,0.8512820512820513
CD,LAMP3pos DC,4,4,1.4396275877952576,1.619922935962677,-0.18029534816741943,0.6857142857142857,-0.25,0.8512820512820513
CD,pDC,3,3,1.4840452671051025,1.4958640336990356,-0.011818766593933105,0.7,-0.3333333333333333,0.8512820512820513
UC,C1Qhi IL1Bhi macro,3,8,4.176293893864281,3.943430542945862,0.2328633509184188,0.7757575757575759,0.16666666666666666,0.8512820512820513
CD,Cycling MNP,5,3,2.182053565979004,1.8726539611816406,0.3093996047973633,0.7857142857142857,-0.2,0.8512820512820513
CD,C1Qhi IL1Bhi macro,9,4,3.964034751057625,4.134020156094007,-0.16998540503638182,0.8251748251748252,-0.1111111111111111,0.8512820512820513
UC,CD1Chi DC,4,11,3.2249038788580124,3.2719268798828125,-0.04702300102480006,0.8512820512820513,0.09090909090909091,0.8512820512820513
